id	type	modified	license	rightsHolder	collectionID	institutionCode	collectionCode	basisOfRecord	occurrenceID	catalogNumber	occurrenceRemarks	recordNumber	recordedBy	individualCount	sex	lifeStage	otherCatalogNumbers	associatedMedia	associatedSequences	eventID	eventDate	year	month	day	verbatimEventDate	habitat	higherGeography	continent	waterBody	islandGroup	island	country	stateProvince	county	locality	verbatimLocality	verbatimElevation	minimumElevationInMeters	maximumElevationInMeters	minimumDepthInMeters	maximumDepthInMeters	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	georeferencedBy	georeferenceProtocol	georeferenceSources	georeferenceRemarks	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lithostratigraphicTerms	group	formation	member	bed	identificationID	identifiedBy	dateIdentified	typeStatus	scientificName	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	nomenclaturalCode
MCZ:Herp:R-142427	PhysicalObject	2015-05-14 16:04:26.0	CC-BY-NC	President and Fellows of Harvard College	1	MCZ	Herp	PreservedSpecimen	MCZ:Herp:R-142427	142427			A Dennison	1			collector number=MCZ FS-F15918; muse location number=ZR142427			28225					12/2/1974-12/2/1974		North America: Bonaire, Sint Eustatius and Saba: Bonaire: West Indies: Bonaire	North America		West Indies	Bonaire	Bonaire, Sint Eustatius and Saba	Bonaire		Ceru Jargo,5km N. Kralendijk	Ceru Jargo,5km N. Kralendijk,Bonaire																														175245	Catalog			Anolis bonairensis	Animalia	Chordata	Reptilia	Squamata	Iguanidae	Anolis	bonairensis				ICZN
MCZ:Herp:R-142430	PhysicalObject	2015-05-14 16:04:26.0	CC-BY-NC	President and Fellows of Harvard College	1	MCZ	Herp	PreservedSpecimen	MCZ:Herp:R-142430	142430			A Dennison	1			collector number=MCZ FS-F15889; muse location number=ZR142430			28227					7/2/1974-7/2/1974		North America: Bonaire, Sint Eustatius and Saba: Bonaire: West Indies: Bonaire	North America		West Indies	Bonaire	Bonaire, Sint Eustatius and Saba	Bonaire		4km N. Kralendijk on Couvenor nebrotweg Hwy. at old Cement Factory	Bonaire:4km N. Kralendijk on Couvenor nebrotweg Hwy. at old Cement Factory																														175248	Catalog			Anolis bonairensis	Animalia	Chordata	Reptilia	Squamata	Iguanidae	Anolis	bonairensis				ICZN
MCZ:Herp:R-142433	PhysicalObject	2015-05-14 16:04:26.0	CC-BY-NC	President and Fellows of Harvard College	1	MCZ	Herp	PreservedSpecimen	MCZ:Herp:R-142433	142433			A Dennison	1			collector number=MCZ FS-F15915; muse location number=ZR142432			28229					11/2/1974-11/2/1974		North America: Bonaire, Sint Eustatius and Saba: Bonaire: West Indies: Bonaire	North America		West Indies	Bonaire	Bonaire, Sint Eustatius and Saba	Bonaire		Fontein on road to Rincon	Bonaire:Fontain on road to Rincon																														175251	Catalog			Anolis bonairensis	Animalia	Chordata	Reptilia	Squamata	Iguanidae	Anolis	bonairensis				ICZN
MCZ:Herp:R-142502	PhysicalObject	2015-06-03 16:48:34.0	CC-BY-NC	President and Fellows of Harvard College	1	MCZ	Herp	PreservedSpecimen	MCZ:Herp:R-142502	142502			T. Preston Webster	1			muse location number=ZR142502			28267					1968-1968		Puerto Rico: Greater Antilles			Greater Antilles		Puerto Rico			Trail to El Yunque	Puerto Rico:Trail to El Yunque																														175331	Catalog			Anolis evermanni	Animalia	Chordata	Reptilia	Squamata	Iguanidae	Anolis	evermanni			Stejneger, 1904	ICZN
MCZ:Herp:R-142504	PhysicalObject	2015-06-03 16:48:34.0	CC-BY-NC	President and Fellows of Harvard College	1	MCZ	Herp	PreservedSpecimen	MCZ:Herp:R-142504	142504			T. Preston Webster	1			muse location number=ZR142502	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R142504_A_evermanni_leftjawd.jpg|http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R142504_A_evermanni_leftjawlab.jpg|http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R142504_A_evermanni_leftjawling.jpg|http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R142504_A_evermanni_pmx.jpg|http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R142504_A_evermanni_rightjawd.jpg|http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R142504_A_evermanni_rightjawlab.jpg|http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R142504_A_evermanni_rightjawling.jpg|http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R142504_A_evermanni_skl.jpg|http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R142504_A_evermanni_skl_2.jpg|http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R142504_A_evermanni_skv.jpg		28267					1968-1968		Puerto Rico: Greater Antilles			Greater Antilles		Puerto Rico			Trail to El Yunque	Puerto Rico:Trail to El Yunque																														175333	Catalog			Anolis evermanni	Animalia	Chordata	Reptilia	Squamata	Iguanidae	Anolis	evermanni			Stejneger, 1904	ICZN
MCZ:Herp:R-142720	PhysicalObject	2015-06-03 16:49:05.0	CC-BY-NC	President and Fellows of Harvard College	1	MCZ	Herp	PreservedSpecimen	MCZ:Herp:R-142720	142720			Thomas Barbour	1			muse location number=ZR142718			28351					1907-1907		Indoaustralia: New Guinea	Indoaustralia			New Guinea				Saonek,Waigeo Id	Dutch New Guinea:Soanek,Waigeo Id						-0.4667d	130.7833d	decimal degrees	-0.4667	130.7833	WGS84	8865	JBH (MCZ)	MaNIS/HerpNET/ORNIS Georeferencing Guidelines	www.fallingrain.com	Used Saonek, PPL. Could not locate on map, estimated location using coordinates. Estimated extent 6.25 km radius, measured between Saonek and Besir. Map scale 1:6,000,000.														175583	Catalog			Lygosoma fuscum fuscum	Animalia	Chordata	Reptilia	Squamata	Scincidae	Lygosoma	fuscum	fuscum			ICZN
MCZ:Herp:R-153621	PhysicalObject	2015-06-03 16:49:47.0	CC-BY-NC	President and Fellows of Harvard College	1	MCZ	Herp	PreservedSpecimen	MCZ:Herp:R-153621	153621			Dr. Ernest Edward Williams, Dr. Susan M. Case	1			collector number=87123; muse location number=ZR153621			29431					16/8/1977-16/8/1977		Central America: Hispaniola	Central America			Hispaniola				Dominican Republic:Dist. Nacional,Parque La Caleta	Dominican Republic:Dist.Nacional,Parque La Caleta						18.45140076d	-69.68920135d	decimal degrees	18.45140076	-69.68920135	WGS84	3292	Elisa Bonaccorso (KUNHM)	MaNIS/HerpNET/ORNIS Georeferencing Guidelines	JOG NE 19-6 (1:250,000)															180503	Catalog			Anolis distichus ignigularis	Animalia	Chordata	Reptilia	Squamata	Iguanidae	Anolis	distichus	ignigularis		Mertens, 1939	ICZN
MCZ:Herp:R-153626	PhysicalObject	2015-06-03 16:49:47.0	CC-BY-NC	President and Fellows of Harvard College	1	MCZ	Herp	PreservedSpecimen	MCZ:Herp:R-153626	153626			Dr. Ernest Edward Williams, Dr. Susan M. Case	1			collector number=87128; muse location number=ZR153621			29431					16/8/1977-16/8/1977		Central America: Hispaniola	Central America			Hispaniola				Dominican Republic:Dist. Nacional,Parque La Caleta	Dominican Republic:Dist.Nacional,Parque La Caleta						18.45140076d	-69.68920135d	decimal degrees	18.45140076	-69.68920135	WGS84	3292	Elisa Bonaccorso (KUNHM)	MaNIS/HerpNET/ORNIS Georeferencing Guidelines	JOG NE 19-6 (1:250,000)															180508	Catalog			Anolis distichus ignigularis	Animalia	Chordata	Reptilia	Squamata	Iguanidae	Anolis	distichus	ignigularis		Mertens, 1939	ICZN
MCZ:Herp:R-153635	PhysicalObject	2015-06-03 16:49:47.0	CC-BY-NC	President and Fellows of Harvard College	1	MCZ	Herp	PreservedSpecimen	MCZ:Herp:R-153635	153635			Dr. Ernest Edward Williams, Dr. Susan M. Case	1			collector number=87137; muse location number=ZR153621			29431					16/8/1977-16/8/1977		Central America: Hispaniola	Central America			Hispaniola				Dominican Republic:Dist. Nacional,Parque La Caleta	Dominican Republic:Dist.Nacional,Parque La Caleta						18.45140076d	-69.68920135d	decimal degrees	18.45140076	-69.68920135	WGS84	3292	Elisa Bonaccorso (KUNHM)	MaNIS/HerpNET/ORNIS Georeferencing Guidelines	JOG NE 19-6 (1:250,000)															180517	Catalog			Anolis distichus ignigularis	Animalia	Chordata	Reptilia	Squamata	Iguanidae	Anolis	distichus	ignigularis		Mertens, 1939	ICZN
MCZ:Herp:R-149692	PhysicalObject	2012-12-06 08:46:26.0	CC-BY-NC	President and Fellows of Harvard College	1	MCZ	Herp	PreservedSpecimen	MCZ:Herp:R-149692	149692	OCE by PGH		Fred Parker	1			collector number=MCZ FS-F14307; muse location number=ZR149691			29667		1973	10	1	0/10/1973-0/10/1973		Indoaustralia: New Guinea	Indoaustralia			New Guinea				Arafura Sea: 30-40 mi W of Fredrik Hendrik Island, Irian Jaya	Arafura Sea: 30-40 mi W of Frederick Hendrik Island, Irian Jaya						-9d	133d	decimal degrees	-9	133	WGS84	404130.41856	JBH (MCZ)	MaNIS/HerpNET/ORNIS Georeferencing Guidelines	Gazetteer of Indonesia: US Defense Mapping Agency (1982)	Used Arafura SEA.  Estimated extent 248.5 miles, measured between Arafura Sea and Timor Sea.  Map scale 1:6,000,000.														183010	Catalog			Hydrophis elegans	Animalia	Chordata	Reptilia	Squamata	Hydrophiidae	Hydrophis	elegans			(Gray, 1842)	ICZN
